Category,URL,Selector
NVIDIA,https://www.nvidia.com/ja-jp/about-nvidia/news/press-release/,main
Microsoft,https://www.microsoft.com/en-us/research/publications/,main
Google Research,https://research.google/research-areas/sustainability-crisis-resilience/,main
Google Research,https://research.google/research-areas/health-ai/,main
Google Research,https://research.google/research-areas/google-earth-ai/,main
Google Research,https://research.google/research-areas/science-ai/,main
Google Research,https://research.google/pubs/,article
AI4S,https://sakana.ai/blog/,main
AI4S,https://www.nature.com/search?q=AI+for+Science&date_range=last_30_days&order=relevance,article
AI agent,https://www.nature.com/search?q=AI+agent&date_range=last_30_days&order=relevance,article
AI agent,https://www.nature.com/search?q=agentic+AI,article
Self-driving laboratories,https://arxiv.org/search/?query=self-driving+laborator*&searchtype=all&abstracts=show&order=-announced_date_first&size=50,main
Self-driving laboratories,https://www.nature.com/search?q=Self-driving+laboratories&date_range=last_30_days&order=relevance,main
U.S.,https://www.energy.gov/newsroom,main
U.S.,https://www.energy.gov/search?keywords=%22Genesis+Mission%22&page=0,main
U.S.,https://www.nsf.gov/focus-areas/ai#featured-funding-68d,main
EU,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence,main
EU,https://www.eurohpc-ju.europa.eu/index_en,article
UK,https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology,main
Korea,https://www.msit.go.kr/eng/bbs/list.do?sCode=eng&mPid=2&mId=4,main
農業,https://smartagri-jp.com/tag/AI,article
農業,https://www.naro.go.jp/publicity_report/press/index.html,main
農業,https://www.cgiar.org/news,.search-results li
農業,https://agfundernews.com/?filter-categories=artificial-intelligence,article
農業,https://precisiondev.org/blog/,main
環境,https://www.carbonbrief.org/science/,main
環境,https://earth.org/,artcle
環境,https://www.reuters.com/business/environment/,main
環境,https://grist.org/?s=AI,main
環境,https://earth.org/?s=Artificial+Intelligence&submit=Search,main
環境,https://www.canarymedia.com/search?q=artificial+intelligence&orderBy=postDate+DESC,.post-card
全分野,https://www.reuters.com/site-search/?query=AI,main
