Category,URL
Qiita,https://qiita.com/popular-items/feed.atom
Qiita,https://qiita.com/organizations/ibm/activities.atom
Qiita,https://qiita.com/organizations/gmo-connect/activities.atom
Qiita,https://qiita.com/organizations/microsoft/activities.atom
Qiita,https://qiita.com/organizations/intellilink/activities.atom
Qiita,https://qiita.com/tags/aiforscience/feed
Qiita,https://qiita.com/tags/ai%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%88/feed
Qiita,https://qiita.com/tags/aiagent/feed
Qiita,https://qiita.com/tags/agenticai/feed
農業,https://www.nature.com/natfood.rss
農業,https://www.fao.org/feeds/fao-newsroom-rss
環境,https://www.nature.com/nclimate.rss
環境,https://www.nature.com/natsustain.rss
環境,https://www.science.org/action/showFeed?ui=0&mi=t3yoou&type=search&feed=rss&query=%2526ConceptID%253D502903%2526target%253Dtopic
自動自律実験,https://www.nature.com/nature.rss
